Order ID,Order Date,Ship Date,Country,Region,Item Type,Sales Channel,Order Priority,Units Sold,Unit Price,Unit Cost
957081544,2019-12-20 00:00:00,2019-12-26 00:00:00,Antigua and Barbuda ,Central America and the Caribbean,Baby Food,Online,Medium,552,255.28,159.42
301644504,2022-07-05 00:00:00,2022-07-19 00:00:00,Panama,Central America and the Caribbean,Snacks,Offline,Cancelled,2167,152.58,97.44
478051030,2021-09-12 00:00:00,2021-09-25 00:00:00,Czech Republic,Europe,Beverages,Offline,Cancelled,4778,47.45,31.79
892599952,2022-05-13 00:00:00,2022-05-30 00:00:00,North Korea,Asia,Cereal,Offline,Low,9016,205.7,117.11
571902596,2015-07-20 00:00:00,2015-08-04 00:00:00,Sri Lanka,Asia,Snacks,Offline,Cancelled,7542,152.58,97.44
412882792,2022-11-08 00:00:00,2022-11-15 00:00:00,Morocco,Middle East and North Africa,Personal Care,Offline,Low,48,81.73,56.67
932776868,2021-03-28 00:00:00,2021-04-14 00:00:00,Federated States of Micronesia,Australia and Oceania,Clothes,Offline,High,8258,109.28,35.84
919133651,2019-10-14 00:00:00,2019-10-15 00:00:00,Bosnia and Herzegovina,Europe,Clothes,Online,Medium,927,109.28,35.84
579814469,2016-08-27 00:00:00,2016-09-05 00:00:00,Afghanistan,Middle East and North Africa,Clothes,Offline,Medium,8841,109.28,35.84
192993152,2015-04-13 00:00:00,2015-04-18 00:00:00,Ethiopia,Sub-Saharan Africa,Baby Food,Online,Medium,9817,255.28,159.42
557156026,2019-09-25 00:00:00,2019-10-16 00:00:00,Turkey,Middle East and North Africa,Office Supplies,Offline,Cancelled,3704,651.21,524.96
741101920,2019-05-12 00:00:00,2019-05-24 00:00:00,Oman,Middle East and North Africa,Cosmetics,Online,Medium,7382,437.2,263.33
333942162,2016-07-31 00:00:00,2016-08-03 00:00:00,Malaysia,Asia,Cereal,Offline,Low,9762,205.7,117.11
795100581,2015-07-06 00:00:00,2015-07-17 00:00:00,Saint Lucia,Central America and the Caribbean,Cosmetics,Offline,High,6786,437.2,263.33
504313504,2022-11-28 00:00:00,2022-12-12 00:00:00,Saint Vincent and the Grenadines,Central America and the Caribbean,Baby Food,Online,Low,6428,255.28,159.42
611629760,2015-12-17 00:00:00,2015-12-21 00:00:00,Lebanon,Middle East and North Africa,Meat,Offline,High,3693,421.89,364.69
987410676,2018-08-13 00:00:00,2018-08-31 00:00:00,Austria,Europe,Cereal,Offline,Cancelled,5616,205.7,117.11
